Br,FA,acetone,29.92875512945041
Br,FA,DMF,39.38523796094263
Br,FA,dmso,87.31067755166914
Br,FA,gbl,15.582936983132788
Br,FA,methacrolein,20.8803627997119
Br,FA,nitromethane,11.668999504851403
Br,FA,nmp,27.648424746835968
Br,FA,THTO,63.56784521760272
Br,MA,acetone,35.02279751290116
Br,MA,DMF,41.082688280833665
Br,MA,dmso,77.38566066400699
Br,MA,gbl,26.239266305693935
Br,MA,methacrolein,30.322398897583586
Br,MA,nitromethane,11.665808631390107
Br,MA,nmp,43.86626102705343
Br,MA,THTO,72.70729685949995
Br,Cs,acetone,32.47987336207194
Br,Cs,DMF,43.55129688110591
Br,Cs,dmso,93.22495493456249
Br,Cs,gbl,26.4407951907225
Br,Cs,methacrolein,26.601091922912165
Br,Cs,nitromethane,16.039884293723567
Br,Cs,nmp,48.61787177705747
Br,Cs,THTO,91.22348383165073
Cl,FA,acetone,29.96727419284706
Cl,FA,DMF,40.35963513636293
Cl,FA,dmso,67.52507986141775
Cl,FA,gbl,22.39886555582901
Cl,FA,methacrolein,33.73473612392624
Cl,FA,nitromethane,18.701814464328226
Cl,FA,nmp,19.84884055303061
Cl,FA,THTO,47.61956564329124
Cl,MA,acetone,35.074589636920635
Cl,MA,DMF,41.5675871314689
Cl,MA,dmso,69.18302985267403
Cl,MA,gbl,19.43444102543311
Cl,MA,methacrolein,22.5539179861431
Cl,MA,nitromethane,23.43819288326414
Cl,MA,nmp,51.30633037693072
Cl,MA,THTO,71.73240692698975
Cl,Cs,acetone,37.586332971264156
Cl,Cs,DMF,49.74791760861774
Cl,Cs,dmso,72.94728868281258
Cl,Cs,gbl,36.35059616869168
Cl,Cs,methacrolein,35.72083880327038
Cl,Cs,nitromethane,21.918216269836932
Cl,Cs,nmp,51.847809766084666
Cl,Cs,THTO,91.76623573665226
I,FA,acetone,38.59649822037117
I,FA,DMF,55.018245454178846
I,FA,dmso,70.4679388073064
I,FA,gbl,25.254935072584416
I,FA,methacrolein,37.25732569711784
I,FA,nitromethane,15.107892331814574
I,FA,nmp,54.54991450022077
I,FA,THTO,102.11774894185136
I,MA,acetone,44.03522131133541
I,MA,DMF,56.77263742225143
I,MA,dmso,86.82869406664122
I,MA,gbl,26.25910273260974
I,MA,methacrolein,42.19206769283064
I,MA,nitromethane,17.339639661791114
I,MA,nmp,57.384815267370186
I,MA,THTO,93.1421734077606
I,Cs,acetone,39.51202059462776
I,Cs,DMF,54.93446905970978
I,Cs,dmso,101.89531836026683
I,Cs,gbl,33.36370900499867
I,Cs,methacrolein,38.25550527376261
I,Cs,nitromethane,19.58388525218731
I,Cs,nmp,75.79887650942702
I,Cs,THTO,109.58133599275436
