Cl,Br,Cl,FA,THTO,0.5604
Br,I,Cl,MA,dmso,0.5349999999999999
I,Cl,Br,FA,acetone,0.1564000000000001
I,I,Br,MA,methacrolein,0.1561999999999999
Cl,Cl,I,FA,dmso,0.5356000000000001
Br,I,Br,FA,nmp,0.37729999999999997
Cl,Br,I,MA,DMF,0.32200000000000006
I,I,Cl,MA,acetone,0.15579999999999994
Br,Br,Br,MA,dmso,0.561
Cl,Cl,Cl,Cs,dmso,0.5436
I,I,I,Cs,acetone,0.1511
I,I,I,FA,nmp,0.3378
