145,Br,I,Br,MA,dmso
146,Br,I,Br,MA,DMF
147,Br,I,Br,MA,nmp
148,Br,I,Br,MA,gbl
149,Br,I,Br,MA,acetone
150,Br,I,Br,MA,methacrolein
151,Br,I,Br,MA,THTO
152,Br,I,Br,MA,nitromethane
153,Br,I,Br,FA,dmso
154,Br,I,Br,FA,DMF
155,Br,I,Br,FA,nmp
156,Br,I,Br,FA,gbl
157,Br,I,Br,FA,acetone
158,Br,I,Br,FA,methacrolein
159,Br,I,Br,FA,THTO
160,Br,I,Br,FA,nitromethane
161,Br,I,Br,Cs,dmso
162,Br,I,Br,Cs,DMF
163,Br,I,Br,Cs,nmp
164,Br,I,Br,Cs,gbl
165,Br,I,Br,Cs,acetone
166,Br,I,Br,Cs,methacrolein
167,Br,I,Br,Cs,THTO
168,Br,I,Br,Cs,nitromethane
169,Br,I,Cl,MA,dmso
170,Br,I,Cl,MA,DMF
171,Br,I,Cl,MA,nmp
172,Br,I,Cl,MA,gbl
173,Br,I,Cl,MA,acetone
174,Br,I,Cl,MA,methacrolein
175,Br,I,Cl,MA,THTO
176,Br,I,Cl,MA,nitromethane
177,Br,I,Cl,FA,dmso
178,Br,I,Cl,FA,DMF
179,Br,I,Cl,FA,nmp
180,Br,I,Cl,FA,gbl
181,Br,I,Cl,FA,acetone
182,Br,I,Cl,FA,methacrolein
183,Br,I,Cl,FA,THTO
184,Br,I,Cl,FA,nitromethane
185,Br,I,Cl,Cs,dmso
186,Br,I,Cl,Cs,DMF
187,Br,I,Cl,Cs,nmp
188,Br,I,Cl,Cs,gbl
189,Br,I,Cl,Cs,acetone
190,Br,I,Cl,Cs,methacrolein
191,Br,I,Cl,Cs,THTO
192,Br,I,Cl,Cs,nitromethane
193,Br,I,I,MA,dmso
194,Br,I,I,MA,DMF
195,Br,I,I,MA,nmp
196,Br,I,I,MA,gbl
197,Br,I,I,MA,acetone
198,Br,I,I,MA,methacrolein
199,Br,I,I,MA,THTO
200,Br,I,I,MA,nitromethane
201,Br,I,I,FA,dmso
202,Br,I,I,FA,DMF
203,Br,I,I,FA,nmp
204,Br,I,I,FA,gbl
205,Br,I,I,FA,acetone
206,Br,I,I,FA,methacrolein
207,Br,I,I,FA,THTO
208,Br,I,I,FA,nitromethane
209,Br,I,I,Cs,dmso
210,Br,I,I,Cs,DMF
211,Br,I,I,Cs,nmp
212,Br,I,I,Cs,gbl
213,Br,I,I,Cs,acetone
214,Br,I,I,Cs,methacrolein
215,Br,I,I,Cs,THTO
216,Br,I,I,Cs,nitromethane
217,Cl,Br,Br,MA,dmso
218,Cl,Br,Br,MA,DMF
219,Cl,Br,Br,MA,nmp
220,Cl,Br,Br,MA,gbl
221,Cl,Br,Br,MA,acetone
222,Cl,Br,Br,MA,methacrolein
223,Cl,Br,Br,MA,THTO
224,Cl,Br,Br,MA,nitromethane
225,Cl,Br,Br,FA,dmso
226,Cl,Br,Br,FA,DMF
227,Cl,Br,Br,FA,nmp
228,Cl,Br,Br,FA,gbl
229,Cl,Br,Br,FA,acetone
230,Cl,Br,Br,FA,methacrolein
231,Cl,Br,Br,FA,THTO
232,Cl,Br,Br,FA,nitromethane
233,Cl,Br,Br,Cs,dmso
234,Cl,Br,Br,Cs,DMF
235,Cl,Br,Br,Cs,nmp
236,Cl,Br,Br,Cs,gbl
