DMSO,1.5,46.7
DMF,1.88,36.7
NMP,1.9,32.2
GBL,1.99,40.2
ACE,1.97,20.7
METH,1.97,10.9
ACN,3.03,37.5
DESI,1.792,15.9
TMSO,1.8266,44
DMSA,1.9314,55
THTO,1.6063,42.8
DESO,1.5864,44.82
DESO2,1.8192,47.39
MPS,1.6347,37.9
ES,1.8511,39.6
SDS,1.6652,42.86
